noisy_image_path,original_image_path,noise_type,noise_params
DATA\noisy\train\216081_gauss.jpg,DATA\original\216081.jpg,gaussian,"mean=-3,std=25"
DATA\noisy\train\216081_poisson.jpg,DATA\original\216081.jpg,poisson,scale=0.58
DATA\noisy\train\216081_sp.jpg,DATA\original\216081.jpg,salt_and_pepper,prob=0.038
DATA\noisy\train\95006_gauss.jpg,DATA\original\95006.jpg,gaussian,"mean=2,std=13"
DATA\noisy\train\95006_poisson.jpg,DATA\original\95006.jpg,poisson,scale=0.96
DATA\noisy\train\95006_sp.jpg,DATA\original\95006.jpg,salt_and_pepper,prob=0.036
DATA\noisy\train\188063_gauss.jpg,DATA\original\188063.jpg,gaussian,"mean=1,std=28"
DATA\noisy\train\188063_poisson.jpg,DATA\original\188063.jpg,poisson,scale=1.11
DATA\noisy\train\188063_sp.jpg,DATA\original\188063.jpg,salt_and_pepper,prob=0.029
DATA\noisy\train\268048_gauss.jpg,DATA\original\268048.jpg,gaussian,"mean=0,std=6"
DATA\noisy\train\268048_poisson.jpg,DATA\original\268048.jpg,poisson,scale=1.02
DATA\noisy\train\268048_sp.jpg,DATA\original\268048.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\250047_gauss.jpg,DATA\original\250047.jpg,gaussian,"mean=2,std=21"
DATA\noisy\train\250047_poisson.jpg,DATA\original\250047.jpg,poisson,scale=0.65
DATA\noisy\train\250047_sp.jpg,DATA\original\250047.jpg,salt_and_pepper,prob=0.02
DATA\noisy\train\235098_gauss.jpg,DATA\original\235098.jpg,gaussian,"mean=0,std=24"
DATA\noisy\train\235098_poisson.jpg,DATA\original\235098.jpg,poisson,scale=0.56
DATA\noisy\train\235098_sp.jpg,DATA\original\235098.jpg,salt_and_pepper,prob=0.046
DATA\noisy\train\8143_gauss.jpg,DATA\original\8143.jpg,gaussian,"mean=-5,std=25"
DATA\noisy\train\8143_poisson.jpg,DATA\original\8143.jpg,poisson,scale=1.79
DATA\noisy\train\8143_sp.jpg,DATA\original\8143.jpg,salt_and_pepper,prob=0.041
DATA\noisy\train\20069_gauss.jpg,DATA\original\20069.jpg,gaussian,"mean=-4,std=17"
DATA\noisy\train\20069_poisson.jpg,DATA\original\20069.jpg,poisson,scale=0.51
DATA\noisy\train\20069_sp.jpg,DATA\original\20069.jpg,salt_and_pepper,prob=0.01
DATA\noisy\train\41085_gauss.jpg,DATA\original\41085.jpg,gaussian,"mean=5,std=6"
DATA\noisy\train\41085_poisson.jpg,DATA\original\41085.jpg,poisson,scale=1.75
DATA\noisy\train\41085_sp.jpg,DATA\original\41085.jpg,salt_and_pepper,prob=0.019
DATA\noisy\train\65132_gauss.jpg,DATA\original\65132.jpg,gaussian,"mean=0,std=19"
DATA\noisy\train\65132_poisson.jpg,DATA\original\65132.jpg,poisson,scale=0.68
DATA\noisy\train\65132_sp.jpg,DATA\original\65132.jpg,salt_and_pepper,prob=0.043
DATA\noisy\train\210088_gauss.jpg,DATA\original\210088.jpg,gaussian,"mean=-5,std=18"
DATA\noisy\train\210088_poisson.jpg,DATA\original\210088.jpg,poisson,scale=1.18
DATA\noisy\train\210088_sp.jpg,DATA\original\210088.jpg,salt_and_pepper,prob=0.046
DATA\noisy\train\267036_gauss.jpg,DATA\original\267036.jpg,gaussian,"mean=-4,std=18"
DATA\noisy\train\267036_poisson.jpg,DATA\original\267036.jpg,poisson,scale=1.12
DATA\noisy\train\267036_sp.jpg,DATA\original\267036.jpg,salt_and_pepper,prob=0.012
DATA\noisy\train\198054_gauss.jpg,DATA\original\198054.jpg,gaussian,"mean=2,std=23"
DATA\noisy\train\198054_poisson.jpg,DATA\original\198054.jpg,poisson,scale=1.61
DATA\noisy\train\198054_sp.jpg,DATA\original\198054.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\376001_gauss.jpg,DATA\original\376001.jpg,gaussian,"mean=3,std=24"
DATA\noisy\train\376001_poisson.jpg,DATA\original\376001.jpg,poisson,scale=1.7
DATA\noisy\train\376001_sp.jpg,DATA\original\376001.jpg,salt_and_pepper,prob=0.043
DATA\noisy\train\43074_gauss.jpg,DATA\original\43074.jpg,gaussian,"mean=-5,std=30"
DATA\noisy\train\43074_poisson.jpg,DATA\original\43074.jpg,poisson,scale=0.87
DATA\noisy\train\43074_sp.jpg,DATA\original\43074.jpg,salt_and_pepper,prob=0.011
DATA\noisy\train\223004_gauss.jpg,DATA\original\223004.jpg,gaussian,"mean=0,std=13"
DATA\noisy\train\223004_poisson.jpg,DATA\original\223004.jpg,poisson,scale=1.64
DATA\noisy\train\223004_sp.jpg,DATA\original\223004.jpg,salt_and_pepper,prob=0.023
DATA\noisy\train\109055_gauss.jpg,DATA\original\109055.jpg,gaussian,"mean=-4,std=19"
DATA\noisy\train\109055_poisson.jpg,DATA\original\109055.jpg,poisson,scale=0.76
DATA\noisy\train\109055_sp.jpg,DATA\original\109055.jpg,salt_and_pepper,prob=0.041
DATA\noisy\train\374020_gauss.jpg,DATA\original\374020.jpg,gaussian,"mean=-5,std=15"
DATA\noisy\train\374020_poisson.jpg,DATA\original\374020.jpg,poisson,scale=0.91
DATA\noisy\train\374020_sp.jpg,DATA\original\374020.jpg,salt_and_pepper,prob=0.012
DATA\noisy\train\147080_gauss.jpg,DATA\original\147080.jpg,gaussian,"mean=-3,std=16"
DATA\noisy\train\147080_poisson.jpg,DATA\original\147080.jpg,poisson,scale=1.83
DATA\noisy\train\147080_sp.jpg,DATA\original\147080.jpg,salt_and_pepper,prob=0.013
DATA\noisy\train\61060_gauss.jpg,DATA\original\61060.jpg,gaussian,"mean=2,std=17"
DATA\noisy\train\61060_poisson.jpg,DATA\original\61060.jpg,poisson,scale=0.79
DATA\noisy\train\61060_sp.jpg,DATA\original\61060.jpg,salt_and_pepper,prob=0.016
DATA\noisy\train\106047_gauss.jpg,DATA\original\106047.jpg,gaussian,"mean=-5,std=11"
DATA\noisy\train\106047_poisson.jpg,DATA\original\106047.jpg,poisson,scale=0.69
DATA\noisy\train\106047_sp.jpg,DATA\original\106047.jpg,salt_and_pepper,prob=0.013
DATA\noisy\train\71046_gauss.jpg,DATA\original\71046.jpg,gaussian,"mean=-1,std=14"
DATA\noisy\train\71046_poisson.jpg,DATA\original\71046.jpg,poisson,scale=1.65
DATA\noisy\train\71046_sp.jpg,DATA\original\71046.jpg,salt_and_pepper,prob=0.049
DATA\noisy\train\208001_gauss.jpg,DATA\original\208001.jpg,gaussian,"mean=4,std=25"
DATA\noisy\train\208001_poisson.jpg,DATA\original\208001.jpg,poisson,scale=1.42
DATA\noisy\train\208001_sp.jpg,DATA\original\208001.jpg,salt_and_pepper,prob=0.045
DATA\noisy\train\105019_gauss.jpg,DATA\original\105019.jpg,gaussian,"mean=3,std=10"
DATA\noisy\train\105019_poisson.jpg,DATA\original\105019.jpg,poisson,scale=0.73
DATA\noisy\train\105019_sp.jpg,DATA\original\105019.jpg,salt_and_pepper,prob=0.049
DATA\noisy\train\113016_gauss.jpg,DATA\original\113016.jpg,gaussian,"mean=5,std=12"
DATA\noisy\train\113016_poisson.jpg,DATA\original\113016.jpg,poisson,scale=1.41
DATA\noisy\train\113016_sp.jpg,DATA\original\113016.jpg,salt_and_pepper,prob=0.038
DATA\noisy\train\97017_gauss.jpg,DATA\original\97017.jpg,gaussian,"mean=0,std=14"
DATA\noisy\train\97017_poisson.jpg,DATA\original\97017.jpg,poisson,scale=0.64
DATA\noisy\train\97017_sp.jpg,DATA\original\97017.jpg,salt_and_pepper,prob=0.016
DATA\noisy\train\33039_gauss.jpg,DATA\original\33039.jpg,gaussian,"mean=2,std=22"
DATA\noisy\train\33039_poisson.jpg,DATA\original\33039.jpg,poisson,scale=1.76
DATA\noisy\train\33039_sp.jpg,DATA\original\33039.jpg,salt_and_pepper,prob=0.023
DATA\noisy\train\163096_gauss.jpg,DATA\original\163096.jpg,gaussian,"mean=5,std=10"
DATA\noisy\train\163096_poisson.jpg,DATA\original\163096.jpg,poisson,scale=0.9
DATA\noisy\train\163096_sp.jpg,DATA\original\163096.jpg,salt_and_pepper,prob=0.047
DATA\noisy\train\100098_gauss.jpg,DATA\original\100098.jpg,gaussian,"mean=-4,std=21"
DATA\noisy\train\100098_poisson.jpg,DATA\original\100098.jpg,poisson,scale=0.86
DATA\noisy\train\100098_sp.jpg,DATA\original\100098.jpg,salt_and_pepper,prob=0.011
DATA\noisy\train\304034_gauss.jpg,DATA\original\304034.jpg,gaussian,"mean=5,std=8"
DATA\noisy\train\304034_poisson.jpg,DATA\original\304034.jpg,poisson,scale=1.36
DATA\noisy\train\304034_sp.jpg,DATA\original\304034.jpg,salt_and_pepper,prob=0.028
DATA\noisy\train\118015_gauss.jpg,DATA\original\118015.jpg,gaussian,"mean=2,std=22"
DATA\noisy\train\118015_poisson.jpg,DATA\original\118015.jpg,poisson,scale=0.91
DATA\noisy\train\118015_sp.jpg,DATA\original\118015.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\189080_gauss.jpg,DATA\original\189080.jpg,gaussian,"mean=0,std=30"
DATA\noisy\train\189080_poisson.jpg,DATA\original\189080.jpg,poisson,scale=1.45
DATA\noisy\train\189080_sp.jpg,DATA\original\189080.jpg,salt_and_pepper,prob=0.02
DATA\noisy\train\189006_gauss.jpg,DATA\original\189006.jpg,gaussian,"mean=5,std=17"
DATA\noisy\train\189006_poisson.jpg,DATA\original\189006.jpg,poisson,scale=1.74
DATA\noisy\train\189006_sp.jpg,DATA\original\189006.jpg,salt_and_pepper,prob=0.048
DATA\noisy\train\196062_gauss.jpg,DATA\original\196062.jpg,gaussian,"mean=1,std=17"
DATA\noisy\train\196062_poisson.jpg,DATA\original\196062.jpg,poisson,scale=0.74
DATA\noisy\train\196062_sp.jpg,DATA\original\196062.jpg,salt_and_pepper,prob=0.036
DATA\noisy\train\198087_gauss.jpg,DATA\original\198087.jpg,gaussian,"mean=4,std=22"
DATA\noisy\train\198087_poisson.jpg,DATA\original\198087.jpg,poisson,scale=0.74
DATA\noisy\train\198087_sp.jpg,DATA\original\198087.jpg,salt_and_pepper,prob=0.049
DATA\noisy\train\189003_gauss.jpg,DATA\original\189003.jpg,gaussian,"mean=4,std=30"
DATA\noisy\train\189003_poisson.jpg,DATA\original\189003.jpg,poisson,scale=0.68
DATA\noisy\train\189003_sp.jpg,DATA\original\189003.jpg,salt_and_pepper,prob=0.011
DATA\noisy\train\70011_gauss.jpg,DATA\original\70011.jpg,gaussian,"mean=1,std=26"
DATA\noisy\train\70011_poisson.jpg,DATA\original\70011.jpg,poisson,scale=1.62
DATA\noisy\train\70011_sp.jpg,DATA\original\70011.jpg,salt_and_pepper,prob=0.04
DATA\noisy\train\103078_gauss.jpg,DATA\original\103078.jpg,gaussian,"mean=-2,std=28"
DATA\noisy\train\103078_poisson.jpg,DATA\original\103078.jpg,poisson,scale=1.19
DATA\noisy\train\103078_sp.jpg,DATA\original\103078.jpg,salt_and_pepper,prob=0.013
DATA\noisy\train\167062_gauss.jpg,DATA\original\167062.jpg,gaussian,"mean=1,std=20"
DATA\noisy\train\167062_poisson.jpg,DATA\original\167062.jpg,poisson,scale=1.1
DATA\noisy\train\167062_sp.jpg,DATA\original\167062.jpg,salt_and_pepper,prob=0.032
DATA\noisy\train\79073_gauss.jpg,DATA\original\79073.jpg,gaussian,"mean=3,std=25"
DATA\noisy\train\79073_poisson.jpg,DATA\original\79073.jpg,poisson,scale=0.61
DATA\noisy\train\79073_sp.jpg,DATA\original\79073.jpg,salt_and_pepper,prob=0.013
DATA\noisy\train\153093_gauss.jpg,DATA\original\153093.jpg,gaussian,"mean=2,std=28"
DATA\noisy\train\153093_poisson.jpg,DATA\original\153093.jpg,poisson,scale=1.55
DATA\noisy\train\153093_sp.jpg,DATA\original\153093.jpg,salt_and_pepper,prob=0.028
DATA\noisy\train\41033_gauss.jpg,DATA\original\41033.jpg,gaussian,"mean=0,std=27"
DATA\noisy\train\41033_poisson.jpg,DATA\original\41033.jpg,poisson,scale=1.04
DATA\noisy\train\41033_sp.jpg,DATA\original\41033.jpg,salt_and_pepper,prob=0.036
DATA\noisy\train\230063_gauss.jpg,DATA\original\230063.jpg,gaussian,"mean=-5,std=22"
DATA\noisy\train\230063_poisson.jpg,DATA\original\230063.jpg,poisson,scale=0.53
DATA\noisy\train\230063_sp.jpg,DATA\original\230063.jpg,salt_and_pepper,prob=0.045
DATA\noisy\train\225022_gauss.jpg,DATA\original\225022.jpg,gaussian,"mean=4,std=18"
DATA\noisy\train\225022_poisson.jpg,DATA\original\225022.jpg,poisson,scale=1.42
DATA\noisy\train\225022_sp.jpg,DATA\original\225022.jpg,salt_and_pepper,prob=0.045
DATA\noisy\train\231015_gauss.jpg,DATA\original\231015.jpg,gaussian,"mean=0,std=25"
DATA\noisy\train\231015_poisson.jpg,DATA\original\231015.jpg,poisson,scale=1.7
DATA\noisy\train\231015_sp.jpg,DATA\original\231015.jpg,salt_and_pepper,prob=0.03
DATA\noisy\train\89072_gauss.jpg,DATA\original\89072.jpg,gaussian,"mean=0,std=19"
DATA\noisy\train\89072_poisson.jpg,DATA\original\89072.jpg,poisson,scale=1.14
DATA\noisy\train\89072_sp.jpg,DATA\original\89072.jpg,salt_and_pepper,prob=0.036
DATA\noisy\train\140006_gauss.jpg,DATA\original\140006.jpg,gaussian,"mean=0,std=22"
DATA\noisy\train\140006_poisson.jpg,DATA\original\140006.jpg,poisson,scale=1.48
DATA\noisy\train\140006_sp.jpg,DATA\original\140006.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\78004_gauss.jpg,DATA\original\78004.jpg,gaussian,"mean=-5,std=28"
DATA\noisy\train\78004_poisson.jpg,DATA\original\78004.jpg,poisson,scale=1.59
DATA\noisy\train\78004_sp.jpg,DATA\original\78004.jpg,salt_and_pepper,prob=0.029
DATA\noisy\train\94095_gauss.jpg,DATA\original\94095.jpg,gaussian,"mean=1,std=8"
DATA\noisy\train\94095_poisson.jpg,DATA\original\94095.jpg,poisson,scale=1.81
DATA\noisy\train\94095_sp.jpg,DATA\original\94095.jpg,salt_and_pepper,prob=0.034
DATA\noisy\train\161045_gauss.jpg,DATA\original\161045.jpg,gaussian,"mean=2,std=5"
DATA\noisy\train\161045_poisson.jpg,DATA\original\161045.jpg,poisson,scale=1.87
DATA\noisy\train\161045_sp.jpg,DATA\original\161045.jpg,salt_and_pepper,prob=0.018
DATA\noisy\train\85048_gauss.jpg,DATA\original\85048.jpg,gaussian,"mean=5,std=21"
DATA\noisy\train\85048_poisson.jpg,DATA\original\85048.jpg,poisson,scale=1.07
DATA\noisy\train\85048_sp.jpg,DATA\original\85048.jpg,salt_and_pepper,prob=0.028
DATA\noisy\train\78098_gauss.jpg,DATA\original\78098.jpg,gaussian,"mean=-1,std=6"
DATA\noisy\train\78098_poisson.jpg,DATA\original\78098.jpg,poisson,scale=1.34
DATA\noisy\train\78098_sp.jpg,DATA\original\78098.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\15088_gauss.jpg,DATA\original\15088.jpg,gaussian,"mean=5,std=30"
DATA\noisy\train\15088_poisson.jpg,DATA\original\15088.jpg,poisson,scale=0.83
DATA\noisy\train\15088_sp.jpg,DATA\original\15088.jpg,salt_and_pepper,prob=0.037
DATA\noisy\train\239007_gauss.jpg,DATA\original\239007.jpg,gaussian,"mean=1,std=16"
DATA\noisy\train\239007_poisson.jpg,DATA\original\239007.jpg,poisson,scale=1.74
DATA\noisy\train\239007_sp.jpg,DATA\original\239007.jpg,salt_and_pepper,prob=0.032
DATA\noisy\train\249021_gauss.jpg,DATA\original\249021.jpg,gaussian,"mean=-5,std=26"
DATA\noisy\train\249021_poisson.jpg,DATA\original\249021.jpg,poisson,scale=1.39
DATA\noisy\train\249021_sp.jpg,DATA\original\249021.jpg,salt_and_pepper,prob=0.039
DATA\noisy\train\161062_gauss.jpg,DATA\original\161062.jpg,gaussian,"mean=1,std=6"
DATA\noisy\train\161062_poisson.jpg,DATA\original\161062.jpg,poisson,scale=1.74
DATA\noisy\train\161062_sp.jpg,DATA\original\161062.jpg,salt_and_pepper,prob=0.017
DATA\noisy\train\56028_gauss.jpg,DATA\original\56028.jpg,gaussian,"mean=5,std=30"
DATA\noisy\train\56028_poisson.jpg,DATA\original\56028.jpg,poisson,scale=1.06
DATA\noisy\train\56028_sp.jpg,DATA\original\56028.jpg,salt_and_pepper,prob=0.015
DATA\noisy\train\189029_gauss.jpg,DATA\original\189029.jpg,gaussian,"mean=2,std=16"
DATA\noisy\train\189029_poisson.jpg,DATA\original\189029.jpg,poisson,scale=0.85
